account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
SenzakiKamo,14,11,MsLouellaDeVil,3,0.1122,6296,retail_user,1,1
TheMadoula,14,11,n_palaiopanou,3,0.1122,3553,mixed_behavior,1,1
Placebo_0,14,14,Harhalas,1,0.0714,3237,mixed_behavior,,
foivos_trikkis_,14,14,UndiagnosedMode,1,0.0714,,retail_user,,
ThanosTzimeros,13,11,__darcelX__,2,0.1006,3080,media_business,1,1
PitSpencer,13,13,GeorghyZhukov,1,0.0769,6437,amplifier_suspect,,1
ZbejVty,12,9,vythos70,4,0.1667,15363,amplifier_suspect,,1
le1li,12,11,SMparlia,2,0.0972,,amplifier_suspect,,1
frel_elias,12,12,vxaz_79,1,0.0833,5990,mixed_behavior,,
teo_ntaleki,12,12,ThanosTzimeros,1,0.0833,782,amplifier_suspect,,1
LitsaXarou,11,3,L3naRain,6,0.438,,media_business,,
Agie2a,11,8,Mirsini1946041,3,0.157,10522,mixed_behavior,,1
ArgirNik,11,8,ellada24,3,0.157,4667,retail_user,,1
ledentiste2,11,9,ips1987,2,0.124,2784,mixed_behavior,,
theatropoios,11,10,ProtocolsWZion,2,0.1074,,amplifier_suspect,,
NickDanny99,11,11,ilpresidenteh,1,0.0909,,amplifier_suspect,,
amantomatimou,10,10,FootyHumour,1,0.1,3249,media_business,,
IK25818385,9,6,Wolfman45042900,3,0.2099,2338,mixed_behavior,,
jparthen,9,7,tzavelaniki,2,0.1605,1130,media_business,,1
lafillemalgard1,9,8,frad_fradi,2,0.1358,5623,mixed_behavior,1,1
Fay82776914F,9,9,taurothanos,1,0.1111,4005,amplifier_suspect,,1
maus_miny,8,5,n_palaiopanou,3,0.25,2728,mixed_behavior,1,1
KVagos42117,8,6,Tiana_Celine_23,2,0.1875,,amplifier_suspect,,
xariszak2,8,6,ThunderSon23,2,0.1875,9589,amplifier_suspect,,1
BatorGr,8,7,vasilis17877373,2,0.1562,3340,amplifier_suspect,1,1
TsigkaEfi,8,7,communakios,2,0.1562,4288,amplifier_suspect,1,1
Abovelaw13,8,8,GeorgeLiakopou2,1,0.125,,retail_user,,
AnAthenianToLDN,8,8,panta_tif,1,0.125,19038,media_business,,1
Rena_Rethymno,8,8,GP_74_,1,0.125,1041,mixed_behavior,,1
anarchistdonkey,8,8,Technomagos,1,0.125,5576,media_business,,
anastassios2401,8,8,MOSSADil,1,0.125,4623,media_business,,
ptableart,7,6,MsLouellaDeVil,2,0.1837,3233,amplifier_suspect,1,1
KyrPantelis3,7,7,InterestingFck,1,0.1429,,amplifier_suspect,,
Nogate_T,7,7,failosK,1,0.1429,3596,amplifier_suspect,1,1
parodynews,7,7,igorsushko,1,0.1429,5128,media_business,,1
steiger_st28082,7,7,P159646899P,1,0.1429,5394,retail_user,,1
Fotinh5,6,4,DvsDvs60195368,3,0.3333,77369,amplifier_suspect,1,1
57lista,6,5,BenakisM,2,0.2222,2596,mixed_behavior,1,1
ArisBJJ,6,5,Akiratos_,2,0.2222,3026,mixed_behavior,1,1
AthanasiouCccp,6,5,RockRock222555,2,0.2222,,media_business,,
Jan__Sobieski,6,5,xa_xa_xa_xo_xo,2,0.2222,,source_hub,,1
chkls,6,5,giannis_kalyvas,2,0.2222,3301,amplifier_suspect,,
tazmanolis,6,5,t_valilas,2,0.2222,,mixed_behavior,,
HouseElisabeth_,6,6,Ioannis_Cook,1,0.1667,4389,amplifier_suspect,,
Theodoros674021,6,6,petrosoutsis,1,0.1667,4601,amplifier_suspect,,1
kostasagg1965,6,6,jsuIvUNFc6JnBTZ,1,0.1667,5577,retail_user,,
lidakis_manos,6,6,dimitris7987,1,0.1667,2820,amplifier_suspect,1,1
B2hBk3gFaa2fH4W,5,3,skasselakis,3,0.44,,amplifier_suspect,,
Valiadistinct,5,3,Valiadistinct,3,0.44,,amplifier_suspect,,
matrixneo1979,5,4,BazingaGR,2,0.28,4847,media_business,,
Anastasia7882,5,5,failosK,1,0.2,52568,amplifier_suspect,,1
CMentat,5,5,iointelresearch,1,0.2,,retail_user,,
LGkvas,5,5,bpapapanagiotou,1,0.2,2999,amplifier_suspect,1,1
Tina5996,5,5,NicDam4,1,0.2,4290,amplifier_suspect,,1
cavodoro,5,5,__darcelX__,1,0.2,4146,amplifier_suspect,,1
dimitris7987,5,5,greek_paris_13,1,0.2,8304,mixed_behavior,,1
fanis_rc,5,5,AnAthenianToLDN,1,0.2,3786,amplifier_suspect,,1
margko73,5,5,tbickle1976,1,0.2,,amplifier_suspect,,
xeniakan21,5,5,BeardedChad1995,1,0.2,,amplifier_suspect,,1
Leniw_Lenia,4,3,ntalaoura,2,0.375,,amplifier_suspect,,
MariaKoki3,4,3,HellenicOlympic,2,0.375,3375,retail_user,,1
freemindspirits,4,3,sihtiria,2,0.375,2859,retail_user,,
EthanAnargyrous,4,4,steiger_st28082,1,0.25,2062,amplifier_suspect,,1
JimyWis,4,4,dimitris7987,1,0.25,4306,amplifier_suspect,,1
MariaKagia4603,4,4,penny_rage,1,0.25,243,amplifier_suspect,,1
g_m_theo,4,4,Mirsini1946041,1,0.25,1486,media_business,1,1
seriousthreat98,4,4,iamvossgr,1,0.25,7123,mixed_behavior,,
themagus2022,4,4,AHD_from_TX,1,0.25,,amplifier_suspect,,
Aristerotsolis,3,1,Aristerotsolis,3,1.0,10570,mixed_behavior,,
ZafiriaF,3,2,efarpax_4,2,0.5556,4481,media_business,,1
DDeppied,3,3,CharaKara,1,0.3333,8017,mixed_behavior,,1
Electra306,3,3,Voice75848495,1,0.3333,2091,mixed_behavior,,
EoLaerte,3,3,Mirsini1946041,1,0.3333,2904,mixed_behavior,,
KosmidisStathis,3,3,Mirsini1946041,1,0.3333,1720,media_business,,1
Mrpresidentgr,3,3,greek_paris_13,1,0.3333,2152,journalist_public_figure,,1
Nikos2501,3,3,Tiana_Celine_23,1,0.3333,,mixed_behavior,,
Protostatis,3,3,AretiAthanasiu,1,0.3333,,mixed_behavior,,
Ralia1Raily,3,3,RealHellenist,1,0.3333,5106,mixed_behavior,,
Realism_47,3,3,Inevitablewest,1,0.3333,1535,mixed_behavior,,
VIVITV5,3,3,DejaLogic,1,0.3333,6264,amplifier_suspect,,1
VforVolemenos,3,3,iefimerida,1,0.3333,11083,mixed_behavior,,1
evangelia_re,3,3,JSweetGR,1,0.3333,4081,amplifier_suspect,,1
kokkoriss,3,3,AdonisGeorgiadi,1,0.3333,1260,amplifier_suspect,,1
nikos_aggelakis,3,3,Rena_Rethymno,1,0.3333,6508,retail_user,,1
unico11226,3,3,michaeldickson,1,0.3333,,retail_user,,1
CharilaosPapad1,2,2,ivoutsas,1,0.5,4062,mixed_behavior,,1
DejaLogic,2,2,thanosdimadis,1,0.5,1759,media_business,,
L6sVita,2,2,Lavrentis_1,1,0.5,2801,mixed_behavior,,1
Lalunaromantico,2,2,ZbejVty,1,0.5,4169,mixed_behavior,,
MAVROJOHN,2,2,BatmanTweetzz,1,0.5,,source_hub,,
Marios59885699,2,2,greek_paris_13,1,0.5,2315,mixed_behavior,,
NodarasSpiros,2,2,gverikks,1,0.5,3173,source_hub,,1
NonameTZ,2,2,zneraida,1,0.5,2611,amplifier_suspect,1,1
PITT1742510,2,2,HomerPavlos,1,0.5,3917,mixed_behavior,,
Philipos1991486,2,2,EmCorfu,1,0.5,,retail_user,,
RGialama8386,2,2,tzon_t,1,0.5,,unknown,,
Torquem21743459,2,2,n_palaiopanou,1,0.5,8973,mixed_behavior,,1
aekzurich21,2,2,anarchistdonkey,1,0.5,,mixed_behavior,,
aprosarmostos_,2,2,Technomagos,1,0.5,842,mixed_behavior,,
consue_banana_,2,2,Mareadre,1,0.5,,mixed_behavior,,
dkDurcGYTIpZdKl,2,2,MARKOPOULODIMI2,1,0.5,1940,media_business,,1
georgekouts62,2,2,Notorio_rbg,1,0.5,13096,mixed_behavior,,1
giorgosgreen,2,2,fasistogavros88,1,0.5,,mixed_behavior,,
hellaspecial,2,2,PlakoudasSpyros,1,0.5,2512,media_business,,
ippotech,2,2,patobonato,1,0.5,2859,mixed_behavior,,
steliostso,2,2,SMpliat,1,0.5,3271,mixed_behavior,,
2Harvard2,1,1,ellada24,1,1.0,2421,unknown,,
2eateras,1,1,zeynepkologluu,1,1.0,16875,unknown,,
4lhc_athens,1,1,G4Heron,1,1.0,1319,retail_user,,
AleaJactaEst101,1,1,ek_tou_kanapeos,1,1.0,7976,unknown,,
AlexAlexroll,1,1,petros_GR,1,1.0,,unknown,,
AndriotGreg,1,1,Agie2a,1,1.0,3432,unknown,,
AnnaDiEpifanio1,1,1,Osint613,1,1.0,4978,unknown,,
AsimakosGiannis,1,1,isaacrrr7,1,1.0,,unknown,,
Asmoudis13,1,1,not_buford,1,1.0,,unknown,,
Athanasiosfara1,1,1,frad_fradi,1,1.0,,mixed_behavior,,
ChrisDarko39,1,1,Tiramolas_,1,1.0,20948,unknown,,
DimitrisP69501,1,1,Johnnyhoston_2,1,1.0,16556,unknown,,
Dv500x,1,1,Osinttechnical,1,1.0,,source_hub,,
FrankiKostas,1,1,AdonisGeorgiadi,1,1.0,4439,mixed_behavior,,1
Georgia146690,1,1,epigeiathea,1,1.0,,unknown,,
GeorgiadouL,1,1,AnaMalamas,1,1.0,11420,mixed_behavior,,1
Greekprn,1,1,nypost,1,1.0,,source_hub,,
Hlsn0iQdRGXJ7lw,1,1,iefimerida,1,1.0,,mixed_behavior,,
JSweetGR,1,1,Parkernomics,1,1.0,,mixed_behavior,1,1
JanSobiesk1683V,1,1,_A_khalifa,1,1.0,17283,unknown,,
Kabamaru__n,1,1,Akiratos_,1,1.0,,unknown,,
Konstan18155165,1,1,apablaze,1,1.0,3434,unknown,,
Kostas18748292,1,1,GGoudaras,1,1.0,11087,unknown,,
Local_Bureau,1,1,I_Skaltsiotis,1,1.0,,unknown,,
LosKarabou79397,1,1,panta_tif,1,1.0,2284,retail_user,,
Lucy75218876,1,1,JemappelleEve,1,1.0,3566,unknown,,
Manolo_math,1,1,BUNDZONE,1,1.0,,unknown,,
PanosStayis,1,1,ByJimbob,1,1.0,,retail_user,,
PiraeusStef,1,1,mariavellou,1,1.0,,unknown,,
RXRqdEgogik2Z9P,1,1,ntalaoura,1,1.0,,source_hub,,
SagamoreMount,1,1,michaeldweiss,1,1.0,,mixed_behavior,1,1
ThanosKten,1,1,sacredchad_ig,1,1.0,,unknown,,
VanaT66,1,1,NedosVassilis,1,1.0,14057,unknown,,
VaragiosP,1,1,olympiada,1,1.0,6426,retail_user,,
Veltsi_Legacy,1,1,Cynaegeirus2,1,1.0,20569,mixed_behavior,,1
Volcom40893832,1,1,AdonisGeorgiadi,1,1.0,8015,mixed_behavior,,1
Wonderlust_K,1,1,UkieDanya,1,1.0,,unknown,,
Yiorgos4115671,1,1,Alpha_Wanted,1,1.0,,unknown,,
agapornis_mask,1,1,tazmanolis,1,1.0,4256,mixed_behavior,,1
agnwstos_x_,1,1,Vathipigadi,1,1.0,,source_hub,,
aikarerina,1,1,aikarerina,1,1.0,,media_business,,
akrato,1,1,Magician_Zastro,1,1.0,,unknown,,
akrokentrwos_2,1,1,Haberler,1,1.0,,media_business,,
alexpretti1312,1,1,steph2monaco,1,1.0,,unknown,,
antonis_zen,1,1,PrDimokratias,1,1.0,,unknown,,
bobidion,1,1,realMaalouf,1,1.0,2943,source_hub,,
bolltzmann,1,1,mpoumpivol2,1,1.0,,unknown,,
chrisvwgolf,1,1,isaacrrr7,1,1.0,,unknown,,
correll_caus,1,1,maybeshewill21,1,1.0,6246,unknown,,
despica67766915,1,1,Nickfarc19,1,1.0,,retail_user,,
isidoragiou1,1,1,ConstantineLad,1,1.0,,retail_user,,
lordos_noble,1,1,toumvas,1,1.0,,unknown,,
milinimaria,1,1,BasketNews_com,1,1.0,,unknown,,
mystical_hell,1,1,AnA_podo_radiki,1,1.0,,unknown,,
nilsholgerson_,1,1,P0eMPieDinges,1,1.0,1598,mixed_behavior,,1
pOURc3ero9j906K,1,1,GeorghyZhukov,1,1.0,16839,unknown,,
papa_vaso,1,1,Eman_8282,1,1.0,,unknown,,
phtochos1,1,1,Athanasiosfara1,1,1.0,,mixed_behavior,,
pnevan11,1,1,Kaybedlerklbu,1,1.0,,retail_user,,
sokpap,1,1,Stam_Pittas,1,1.0,,unknown,,
tavros5791,1,1,praktikiskepsi,1,1.0,11390,unknown,,
trescommeilfaut,1,1,Eirini_D91,1,1.0,,source_hub,,
vagelis_ts,1,1,Votsarinho,1,1.0,,unknown,,
